Time (ms)	Lift	Drag
27728.000	1.698	0.148
27803.000	1.697	0.141
27881.000	1.697	0.132
27960.000	1.697	0.126
28036.000	1.697	0.118
28115.000	1.694	0.118
28192.000	1.695	0.118
28270.000	1.698	0.128
28348.000	1.696	0.142
28426.000	1.699	0.138
28503.000	1.700	0.148
28580.000	1.699	0.151
28657.000	1.697	0.142
28734.000	1.697	0.123
28812.000	1.695	0.119
28892.000	1.695	0.119
28970.000	1.695	0.118
29048.000	1.696	0.118
29125.000	1.696	0.127
29203.000	1.697	0.137
29281.000	1.700	0.147
29358.000	1.698	0.149
29437.000	1.698	0.150
29514.000	1.699	0.148
29593.000	1.698	0.143
29670.000	1.695	0.128
29746.000	1.694	0.118
29823.000	1.694	0.118
29902.000	1.693	0.118
29979.000	1.698	0.129
30056.000	1.698	0.140
30134.000	1.699	0.149
30212.000	1.701	0.150
30291.000	1.696	0.149
30370.000	1.698	0.145
30447.000	1.698	0.138
30523.000	1.697	0.125
30601.000	1.695	0.115
30680.000	1.697	0.112
30757.000	1.695	0.121
30834.000	1.698	0.132
30911.000	1.698	0.140
30990.000	1.700	0.147
31068.000	1.698	0.153
31145.000	1.699	0.152
31221.000	1.698	0.142
31298.000	1.695	0.129
31375.000	1.697	0.121
31451.000	1.693	0.123
31530.000	1.696	0.126
31607.000	1.696	0.138
31684.000	1.697	0.149
31760.000	1.699	0.155
31838.000	1.698	0.153
31914.000	1.698	0.141
31992.000	1.698	0.131
32069.000	1.695	0.123
32146.000	1.692	0.119
32222.000	1.695	0.122
32300.000	1.697	0.132
32378.000	1.694	0.138
32456.000	1.697	0.141
32535.000	1.699	0.146
32615.000	1.701	0.151
32692.000	1.699	0.151
32769.000	1.697	0.144
32847.000	1.697	0.129
32925.000	1.696	0.123
33003.000	1.695	0.119
33082.000	1.695	0.115
33161.000	1.695	0.115
33238.000	1.694	0.124
33318.000	1.695	0.130
33396.000	1.700	0.134
33473.000	1.701	0.150
33551.000	1.700	0.152
33628.000	1.699	0.150
33704.000	1.698	0.139
33782.000	1.695	0.127
33860.000	1.695	0.120
33937.000	1.697	0.116
34015.000	1.695	0.116
34091.000	1.699	0.124
34170.000	1.695	0.136
34246.000	1.699	0.148
34325.000	1.699	0.149
34403.000	1.699	0.149
34482.000	1.699	0.153
34560.000	1.697	0.146
34639.000	1.700	0.136
34716.000	1.695	0.123
34793.000	1.697	0.117
34869.000	1.697	0.116
34947.000	1.699	0.120
35023.000	1.697	0.136
35102.000	1.700	0.141
35180.000	1.698	0.152
35257.000	1.699	0.147
35335.000	1.700	0.143
35413.000	1.696	0.138
